,0,1,2,3,4,5,6,7
0,"$17,000/mo",4 Bed Condo for Rent in Skypark,4 Beds,4 Baths,"3,347 sqft",Orchard / River Valley (D9),"['$5.08 psf', 'High (31 total)', 'Partial', 'City view', '2010', 'Freehold', 'Condo', '19 mins ago', '3, 4, 5 BR', '29', '2010', 'Freehold', 'Tg Development Pte Ltd']","['Duplex / maisonette', 'Water feature', 'High ceiling', 'Function room', 'Oven', 'Parking', 'Outdoor dining', 'Balcony', 'City view', 'Closet', 'Pool deck', 'Utility room', 'Gym', 'Fridge', 'Dryer', 'Pavilion', 'Aircon', 'Maid room', 'Open terrace', 'Swimming pool', 'Audio system', 'High floor', 'Security', 'Bathtub']"
1,"$3,200/mo",2 Bed Condo for Rent in Wilkie 48,2 Beds,2 Baths,893 sqft,Orchard / River Valley (D9),"['$3.58 psf', 'Mid', 'Partial', '1998', 'Freehold', 'Condo', '24 mins ago', 'Studio, 2 BR', '28', '1998', 'Freehold', 'Innovative Development Pte Ltd']","['Aircon', 'Closet', 'Stove', 'Fridge', 'Swimming pool', 'Dryer', 'Parking', 'Mid floor', 'Washer', 'Security']"
2,"$2,500/mo",1 Bed Condo for Rent in Espada,1 Bed,1 Bath,355 sqft,Orchard / River Valley (D9),"['$7.04 psf', 'High (32 total)', 'Fully', 'North East', 'City view', '2013', 'Freehold', 'Condo', '19 mins ago', 'Studio, 1, 2 BR', '232', '2013', 'Freehold', 'Novelty Orchard Development Pte Ltd']","['Clubhouse', 'Function room', 'Spa pavilion', 'Jacuzzi', 'Parking', 'Outdoor dining', 'Balcony', 'City view', 'Closet', 'Swimming pool', 'Tv', 'Pool deck', 'Wading pool', 'Playground', 'Washer', 'Bbq', 'Gym', 'Fridge', 'Dryer', 'Tennis court', 'Underwater fitness station', 'Reflexology path', 'Yoga corner', 'Aircon', 'Sofa', 'Billiards room', 'Bed', 'Aerobic pool', 'Fitness corner', 'High floor', 'Security', 'Lap pool']"
3,"$7,000/mo",3 Bed Condo for Rent in 8 St Thomas,3 Beds,2 Baths,"1,152 sqft",Orchard / River Valley (D9),"['$6.08 psf', 'Mid (35 total)', 'Unfurnished', 'Pool view', '2018', 'Freehold', 'Condo', '26 mins ago', '1, 2, 3, 4, 5 BR', '230', '2018', 'Freehold', 'Bukit Sembawang Estates Limited']","['Fitness corner', 'Fibre ready', 'Aircon', 'Closet', 'Water feature', 'Gym', 'Fridge', 'Spa pool', 'Function room', 'Steam room', 'Tennis court', 'Oven', 'Mid floor', 'Washer', 'Pool view', 'Lap pool', 'Security', 'Bbq', 'Balcony']"
4,"$12,000/mo",3 Bed Condo for Rent in 3 Orchard By-The-Park,3 Beds,3 Baths,"1,862 sqft",Tanglin / Holland (D10),"['$6.44 psf', 'High (25 total)', 'Partial', 'Greenery view', '2017', 'Freehold', 'Condo', '19 mins ago', '2, 3, 4, 5 BR', '77', '2017', 'Freehold']","['Lounge', 'Pool deck', 'Pavilion', 'Security', 'Greenery view', 'Open terrace', 'Library', 'Concierge', 'Swimming pool', 'Wading pool', 'Jacuzzi', 'Fountain', 'Parking', 'High floor', 'Outdoor dining', 'Gym', 'Balcony']"
5,"$3,050/mo",Studio Condo for Rent in Duo Residences / Duo Tower,Studio,1 Bath,527 sqft,[],"['$5.79 psf', 'High (31 total)', 'Fully', 'Sea view', '2017', '99-year leasehold', 'Apartment', '23 mins ago', 'Studio, 1, 2, 3, 4 BR', '660', '2017', '99 Years', 'M+S Pte Ltd (A Company Owned By Khazanah And Temasek)']","['Function room', 'Rooftop pool', 'Jacuzzi', 'Oven', 'Outdoor dining', 'Balcony', 'Closet', 'Tv', 'Pool deck', 'Wading pool', 'Spa pool', 'Playground', 'Washer', 'Fibre ready', 'Bbq', 'Gym', 'Fridge', 'Sauna', 'Dryer', 'Underwater fitness station', 'Aircon', 'Sofa', 'Open terrace', 'Bed', 'Viewing deck', 'Sea view', 'High floor', 'Retail shops', 'Lap pool']"
6,"$10,500/mo",5 Bed House for Rent in Greenwood Mews,5 Beds,4 Baths,"3,175 sqft (built-up)",Newton / Novena (D11),"['$3.31 psf', '$3.31 psf', 'Partial', '2016', '103-year leasehold', '24 mins ago', '4, 5 BR', '62', '2016', '103 Years', 'Golden Development Pte Ltd & Astoria Park Pte Ltd']","['Bomb shelter', 'Bathtub', 'Aircon', 'Dishwasher', 'Fridge', 'Oven', 'Washer', 'Patio / pes', 'Balcony']"
7,"$2,600/mo",Studio Condo for Rent in Seahill,Studio,1 Bath,495 sqft,Buona Vista / West Coast / Clementi (D5),"['$5.25 psf', 'Partial', 'South', 'Pool view', '2016', '99-year leasehold', 'Condo', '33 mins ago', 'Studio, 1, 2, 3, 4, 5, 6 BR', '338', '2016', '99 Years', 'Boo Han Holdings Pte Ltd']","['High ceiling', 'Stove', 'Walk in closet', 'Jacuzzi', 'Oven', 'Parking', 'Balcony', 'Tv', 'Dining room furniture', 'Washer', 'Fibre ready', 'Gym', 'Fridge', 'Dryer', 'Pool view', 'Aircon', 'Sofa', 'Bed', 'Fitness corner', 'Security', 'Bathtub', 'Lap pool']"
8,"$3,500/mo",1 Bed Condo for Rent in Tiong Bahru Estate,1 Bed,1 Bath,550 sqft,Alexandra / Commonwealth (D3),"['$6.36 psf', 'Mid (5 total)', 'Fully', 'Greenery view', '99-year leasehold', 'Walk-up', '1 min ago', 'Studio, 1, 2, 3, 4, 5, 6, 9 BR', '99 Years']","['Renovated', 'High ceiling', 'Greenery view', 'Mid floor', 'Fibre ready', 'Balcony']"
9,"$3,200/mo",1 Bed Condo for Rent in The Levelz,1 Bed,1 Bath,786 sqft,Tanglin / Holland (D10),"['$4.07 psf', 'Low (12 total)', 'Fully', 'Pool view', '2004', 'Freehold', 'Condo', '30 mins ago', 'Studio, 1, 2 BR', '126', '2004', 'Freehold', 'Capitaland Residential']","['Clubhouse', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Balcony', 'Bomb shelter', 'Closet', 'Tv', 'Dining room furniture', 'Washer', 'Fibre ready', 'Bbq', 'Gym', 'Fridge', 'Low floor', 'Dryer', 'Tennis court', 'Pool view', 'Aircon', 'Sofa', 'Bed', 'Swimming pool', 'Study room', 'Fitness corner', 'Security', 'Bathtub']"
